γινόμενον	2027
κεῖται	2024
λόγων	2024
καθὼς	2021
ὧδε	2018
βασιλέως	2015
Ἀλλ	2015
Ταῦτα	2014
ἅπαν	2013
σημεῖα	2010
οἴνῳ	2009
μέγα	2008
εἶχε	2008
ἑ	2007
δεῖται	2002
ἥλιον	2001
οἶον	2001
ἑκάστῳ	2000
λοιπῶν	1999
τινῶν	1995
φαμεν	1993
ἐνεργείας	1989
αἰτία	1988
υἱοὶ	1985
μηδενὶ	1981
αἰσθητῶν	1978
εἰδέναι	1976
Κύριος	1976
διότι	1974
ει	1972
ψυχρὸν	1970
κάτω	1968
ἀγαθοῦ	1964
Ἔτι	1964
υ	1964
σοὶ	1962
τοῖσι	1960
ἐκεῖνοι	1958
οὐδενὸς	1954
νοῦ	1953
χρῶμα	1953
πανταχοῦ	1952
πᾶσαι	1951
λεγόμενον	1947
ζῷα	1943
ποιεῖται	1941
εἰδῶν	1941
ποδῶν	1941
καθόλου	1940
κινήσεις	1939
οὐδέν	1934
ἱκανῶς	1934
ὥστ	1933
σὲ	1928
ὅς	1925
οὐκέτι	1922
ἡλίου	1919
εὑρεῖν	1919
θεός	1918
ἐκείνοις	1917
Κ	1917
ἅπαξ	1915
οὔπω	1912
ὁρᾶν	1908
κύκλῳ	1907
γένεσις	1906
ἔνδον	1904
οἵ	1900
χεῖρα	1897
γνῶσιν	1897
ἐπειδὰν	1895
τινὰς	1895
ἀληθείας	1886
βίον	1886
αὐτούς	1885
ἔσεσθαι	1884
σ	1883
ω	1881
προτάσεις	1879
διαφορὰν	1878
σφόδρα	1877
ἡλίου	1876
ἐϲτιν	1876
ὑπάρχειν	1873
προτάσεων	1872
αὐτήν	1870
ἐχρῆν	1866
στοιχείων	1863
πάσχειν	1862
φάρμακον	1860
ποιεῖσθαι	1859
ἀέρα	1853
πρός	1850
εἰμι	1850
πόλεως	1848
λέγεσθαι	1845
τροφὴν	1844
ζωὴν	1844
μοίρας	1838
πρώτου	1836
σαρκὸς	1836
εἶ	1832
οἷα	1824
πασῶν	1823
γένει	1821
ζῴου	1820
βίον	1819
πλείω	1817
ἑκάτερον	1815
πρώτην	1815
θερμοῦ	1815
χώραν	1813
ἔχοντος	1813
γένη	1810
δυνάμει	1810
Ι	1807
γένοιτο	1803
σημαίνει	1802
γυνὴ	1802
ἑτέραν	1799
παντελῶς	1797
πλέον	1797
ἀδύνατον	1797
Διὸς	1796
μέγεθος	1794
πολλὰς	1793
δίκαιον	1792
ὤν	1788
δοκεῖν	1787
πλείους	1787
Ἰουδαίων	1779
πράγματα	1778
κύκλος	1777
πράγματος	1775
ταύτῃ	1774
γέγονε	1773
πόλεως	1772
ποιῶν	1770
πλειόνων	1765
σάρκα	1764
ὁδὸν	1763
οἶ	1763
ἐκείνῳ	1758
ζητεῖν	1756
ποτὶ	1756
π	1755
θεοὺς	1753
τρία	1752
κινεῖ	1751
σπέρμα	1745
λέγουσιν	1744
κόσμον	1739
φαρμάκων	1736
ποσὸν	1733
ἑαυτῆς	1732
δέδεικται	1732
δόξης	1731
ἄνδρας	1726
πολλοῦ	1725
εὐθεῖα	1723
ἀμφοτέρων	1723
Τῶν	1721
ἐλθεῖν	1721
φησίν	1718
φύσεως	1717
νόμου	1708
ἅπασι	1707
λόγους	1706
δέκα	1705
ἔλεγε	1704
ἥμισυ	1701
ὑποκειμένου	1699
ὅστις	1697
μείζων	1696
κατηγορεῖται	1695
αἰσθήσεως	1691
Παῦλος	1690
φωνὴν	1686
ἔθος	1686
πάλαι	1684
ὑπάρχει	1681
ἀλήθειαν	1677
γίγνεται	1673
ἔοικε	1671
ΒΓ	1671
βραχὺ	1668
ἀνθρώπους	1667
ἀνθρώπου	1661
ἐποίησεν	1661
νυκτὸς	1660
πάσας	1659
ἐκείνων	1655
λοιπὰ	1655
θανάτου	1648
τάξιν	1645
οἶδα	1645
πολλῆς	1644
χρόνῳ	1644
πάντως	1644
μέρει	1641
οὐδʼ	1640
ΑΒΓ	1640
μόνος	1639
εἴποι	1634
εἶχον	1633
ἀριθμὸς	1633
Πρὸς	1632
ὁτὲ	1630
ΑΓ	1630
φασὶ	1627
θάνατον	1627
τὰν	1626
πλεῖον	1625
ἀλλήλων	1623
ἑαυτὴν	1617
ἦ	1616
τιϲ	1616
οὐδαμῶς	1613
δεύτερον	1613
ἀπʼ	1613
ῥῆμα	1611
ῑ	1611
