ἀναγκαῖον	5954
λόγος	5947
τινες	5934
δυνάμει	5933
γενέσθαι	5929
quod	5906
ὢν	5886
ἧς	5878
ἢν	5871
ἔφη	5860
φύσει	5817
πάντων	5805
die	5781
οὗτοι	5773
ἐκεῖ	5766
ἑαυτὸν	5739
μεταξὺ	5731
εἴπερ	5715
ὑπάρχει	5682
autem	5680
πολλῶν	5669
that	5650
ὑμῖν	5608
ν	5598
cum	5581
Ὁ	5571
ἔχοντα	5521
ἄνευ	5468
πνεῦμα	5466
ὕστερον	5456
πολλάκις	5428
φησίν	5414
Χριστοῦ	5407
ἄλλοις	5402
πλὴν	5400
ἀγαθὸν	5375
λόγου	5365
ἄπειρον	5362
δύναμιν	5342
εἰσι	5342
τινὶ	5321
χωρὶς	5294
πλῆθος	5238
πᾶσαν	5235
θεὸν	5206
de	5193
ἴδιον	5176
κ	5167
ἑνὸς	5161
πάντως	5159
ἧττον	5154
ὁμοίως	5145
ἔξω	5128
εἰπὼν	5124
κάτω	5123
ἴσον	5082
δύναται	5072
ἕν	5042
ὕδατος	5039
ἐκεῖνο	5020
der	5020
ταύτης	4990
Τὸ	4970
ψυχὴν	4967
ι	4964
ἀφ	4963
τοῖϲ	4940
ex	4936
μέν	4933
λοιπὸν	4906
βασιλεὺς	4892
is	4888
Q	4874
Il	4852
quae	4851
ἔχον	4835
ἀνθρώπων	4834
φησί	4833
λέγεται	4821
ο	4814
δυνατὸν	4812
χρόνον	4810
αὐτὴ	4807
εἰσὶ	4789
Εἰ	4766
ἀνάγκης	4710
εὐθὺς	4702
ἐφεξῆς	4691
τόπον	4686
πᾶσα	4684
λέγειν	4679
καί	4664
αὐτοὶ	4660
πᾶσι	4639
τινὸς	4626
οὐσίας	4605
φύσεως	4601
οὐχὶ	4557
εὖ	4529
τούτοις	4522
μάλιστα	4485
ἔστω	4484
διότι	4479
κινήσεως	4476
εἶπε	4469
ὑμᾶς	4463
ἴσως	4461
ἐστίν	4457
σημεῖον	4447
ἑαυτῷ	4441
πρός	4439
νοῦν	4438
τοσοῦτον	4419
Ὅτι	4408
τό	4383
τοῦτ	4383
πρότερον	4380
χρόνῳ	4379
κίνησις	4372
αἰτίαν	4354
εἰσὶν	4346
ἤ	4337
ἔργον	4332
μέχρι	4319
ἕνεκα	4319
οὐσίαν	4318
ἣ	4296
δηλοῖ	4296
εἴδη	4286
θεῶν	4275
οὖσα	4274
τότε	4270
